# Moment bins       
# bins              : 20
# start             : -9.996897389363e-03
# end               : 9.998896768841e-03
# delta             : 9.997897079102e-04
# direction         : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# x co-ords  :      	-8.997107681453e-03	-7.997317973543e-03	-6.997528265633e-03	-5.997738557722e-03	-4.997948849812e-03	-3.998159141902e-03	-2.998369433992e-03	-1.998579726081e-03	-9.987900181713e-04	9.996897389359e-07	1.000789397649e-03	2.000579105559e-03	3.000368813470e-03	4.000158521380e-03	4.999948229290e-03	5.999737937200e-03	6.999527645110e-03	7.999317353021e-03	8.999107060931e-03	9.998896768841e-03
# y co-ords  :      	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
# z co-ords  :      	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	-0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
#
# Time              	0:(total_x total_y total_z)	0:(pressure_x pressure_y pressure_z)	0:(viscous_x viscous_y viscous_z)	1:(total_x total_y total_z)	1:(pressure_x pressure_y pressure_z)	1:(viscous_x viscous_y viscous_z)	2:(total_x total_y total_z)	2:(pressure_x pressure_y pressure_z)	2:(viscous_x viscous_y viscous_z)	3:(total_x total_y total_z)	3:(pressure_x pressure_y pressure_z)	3:(viscous_x viscous_y viscous_z)	4:(total_x total_y total_z)	4:(pressure_x pressure_y pressure_z)	4:(viscous_x viscous_y viscous_z)	5:(total_x total_y total_z)	5:(pressure_x pressure_y pressure_z)	5:(viscous_x viscous_y viscous_z)	6:(total_x total_y total_z)	6:(pressure_x pressure_y pressure_z)	6:(viscous_x viscous_y viscous_z)	7:(total_x total_y total_z)	7:(pressure_x pressure_y pressure_z)	7:(viscous_x viscous_y viscous_z)	8:(total_x total_y total_z)	8:(pressure_x pressure_y pressure_z)	8:(viscous_x viscous_y viscous_z)	9:(total_x total_y total_z)	9:(pressure_x pressure_y pressure_z)	9:(viscous_x viscous_y viscous_z)	10:(total_x total_y total_z)	10:(pressure_x pressure_y pressure_z)	10:(viscous_x viscous_y viscous_z)	11:(total_x total_y total_z)	11:(pressure_x pressure_y pressure_z)	11:(viscous_x viscous_y viscous_z)	12:(total_x total_y total_z)	12:(pressure_x pressure_y pressure_z)	12:(viscous_x viscous_y viscous_z)	13:(total_x total_y total_z)	13:(pressure_x pressure_y pressure_z)	13:(viscous_x viscous_y viscous_z)	14:(total_x total_y total_z)	14:(pressure_x pressure_y pressure_z)	14:(viscous_x viscous_y viscous_z)	15:(total_x total_y total_z)	15:(pressure_x pressure_y pressure_z)	15:(viscous_x viscous_y viscous_z)	16:(total_x total_y total_z)	16:(pressure_x pressure_y pressure_z)	16:(viscous_x viscous_y viscous_z)	17:(total_x total_y total_z)	17:(pressure_x pressure_y pressure_z)	17:(viscous_x viscous_y viscous_z)	18:(total_x total_y total_z)	18:(pressure_x pressure_y pressure_z)	18:(viscous_x viscous_y viscous_z)	19:(total_x total_y total_z)	19:(pressure_x pressure_y pressure_z)	19:(viscous_x viscous_y viscous_z)
4e-05               	(-3.505813545587e-12 -1.887480247175e-10 6.121759635602e-10)	(-9.599556894232e-15 -4.366476604973e-13 -1.080178373944e-12)	(-3.496213988692e-12 -1.883113770570e-10 6.132561419341e-10)	(-7.672452880254e-12 -1.610506621348e-09 2.191604139957e-09)	(-7.286871427375e-15 -3.750458703587e-13 -1.985951817206e-12)	(-7.665166008827e-12 -1.610131575478e-09 2.193590091774e-09)	(2.492055468562e-11 -5.758556378830e-10 1.111213327272e-09)	(-2.675627334227e-13 3.068109814525e-13 -1.903339514114e-12)	(2.518811741904e-11 -5.761624488644e-10 1.113116666786e-09)	(5.636946281373e-11 -2.205337966946e-09 2.839145439860e-09)	(-8.539967002255e-14 7.074980745647e-13 -1.502994946418e-12)	(5.645486248375e-11 -2.206045465021e-09 2.840648434807e-09)	(8.792003528722e-11 -2.373082352518e-09 3.252961138844e-09)	(1.914594592688e-13 3.761951034120e-13 -1.302172372287e-12)	(8.772857582795e-11 -2.373458547622e-09 3.254263311216e-09)	(9.926998897628e-11 -1.449781748310e-09 2.455758038167e-09)	(2.591559919111e-13 3.827349122428e-13 -8.737886550293e-13)	(9.901083298437e-11 -1.450164483222e-09 2.456631826822e-09)	(1.069912094000e-10 -2.196041225644e-09 3.287290186456e-09)	(3.907573100948e-13 4.148271535024e-14 -4.838245791200e-13)	(1.066004520899e-10 -2.196082708360e-09 3.287774011035e-09)	(1.177378929961e-10 -4.461368621873e-09 5.619215283217e-09)	(3.528598181822e-13 6.223156815950e-15 -4.939800307361e-13)	(1.173850331780e-10 -4.461374845030e-09 5.619709263247e-09)	(1.209778958591e-10 -4.126036269117e-09 5.272762752843e-09)	(3.686165021352e-13 1.507432897381e-12 -1.353896742282e-12)	(1.206092793570e-10 -4.127543702014e-09 5.274116649585e-09)	(1.288505090371e-10 7.234422234772e-10 4.052741167037e-10)	(3.760342503925e-13 1.802378469232e-12 -1.360448476589e-12)	(1.284744747867e-10 7.216398450079e-10 4.066345651803e-10)	(1.364438999268e-10 5.471998637502e-09 -4.372704185122e-09)	(3.984507541073e-13 1.925274344422e-12 -1.830346715928e-12)	(1.360454491727e-10 5.470073363158e-09 -4.370873838406e-09)	(1.581046674140e-10 5.246725662509e-09 -4.257783487040e-09)	(4.344529438471e-13 3.039629162597e-12 -3.746612939187e-12)	(1.576702144702e-10 5.243686033347e-09 -4.254036874101e-09)	(1.741878058187e-10 3.498506367578e-09 -2.713582759679e-09)	(4.902592770041e-13 3.109447328915e-12 -3.957164186376e-12)	(1.736975465417e-10 3.495396920249e-09 -2.709625595492e-09)	(1.886475760652e-10 2.604785935524e-09 -2.005534413843e-09)	(5.719714020654e-13 2.919054049609e-12 -4.132852286306e-12)	(1.880756046632e-10 2.601866881474e-09 -2.001401561556e-09)	(1.936837588628e-10 1.535876153179e-09 -1.164734001874e-09)	(4.382214267846e-13 3.005385632711e-12 -4.428970530164e-12)	(1.932455374360e-10 1.532870767546e-09 -1.160305031344e-09)	(1.392753150816e-10 1.180417063590e-09 -9.729217193784e-10)	(4.042557621548e-13 2.649331600923e-12 -4.329937786015e-12)	(1.388710593195e-10 1.177767731989e-09 -9.685917815924e-10)	(1.128156565932e-10 9.103297567818e-10 -9.609030127163e-10)	(1.952625606381e-13 2.450859666139e-12 -3.441457896140e-12)	(1.126203940326e-10 9.078788971157e-10 -9.574615548201e-10)	(8.845132197811e-11 -8.137956084294e-10 7.555508918471e-10)	(2.825039238510e-13 3.164035204201e-12 -5.077480419795e-12)	(8.816881805426e-11 -8.169596436336e-10 7.606283722669e-10)	(7.504309198523e-11 7.654984454568e-10 -9.473574706776e-10)	(2.435657863334e-13 3.040725737067e-12 -3.783110870126e-12)	(7.479952619890e-11 7.624577197198e-10 -9.435743598075e-10)	(7.836127164364e-11 7.746178810976e-10 -1.082054937015e-09)	(2.856523621305e-13 3.140080736211e-12 -3.728309859718e-12)	(7.807561928151e-11 7.714778003614e-10 -1.078326627155e-09)
5e-05               	(4.657109802308e-12 -1.670407964941e-10 -1.979583748878e-10)	(1.379284729610e-14 3.952151235862e-13 1.501522177738e-12)	(4.643316955012e-12 -1.674360116177e-10 -1.994598970655e-10)	(1.625671061071e-12 6.667646324501e-10 -1.286750423309e-09)	(3.954047948772e-15 1.665315553236e-13 2.795615954780e-12)	(1.621717013122e-12 6.665981008948e-10 -1.289546039264e-09)	(-3.047908801565e-11 -7.647425975941e-10 -3.440696143449e-10)	(4.366726553167e-13 -9.454058530481e-13 2.461336939509e-12)	(-3.091576067097e-11 -7.637971917411e-10 -3.465309512844e-10)	(-9.467009394545e-11 -9.889457849773e-11 -1.546190646274e-09)	(1.117760226087e-13 -1.455360479033e-12 2.088041496501e-12)	(-9.478186996806e-11 -9.743921801870e-11 -1.548278687770e-09)	(-1.775197218954e-10 1.705113941668e-10 -2.035183758412e-09)	(-3.401847330605e-13 -9.502570612665e-13 1.737280922661e-12)	(-1.771795371624e-10 1.714616512281e-10 -2.036921039335e-09)	(-2.127810835680e-10 -8.279826487127e-10 -1.144665467060e-09)	(-5.520881111782e-13 -4.358079825947e-13 6.753599038212e-13)	(-2.122289954568e-10 -8.275468407301e-10 -1.145340826964e-09)	(-2.193176247106e-10 -6.318625731351e-10 -1.420187876325e-09)	(-8.641944257623e-13 5.117554858626e-14 1.427608795091e-13)	(-2.184534302848e-10 -6.319137486837e-10 -1.420330637204e-09)	(-2.151025656949e-10 5.632070859957e-10 -2.553384594913e-09)	(-8.383687526757e-13 1.477989050031e-13 4.433913529757e-14)	(-2.142641969422e-10 5.630592870907e-10 -2.553428934048e-09)	(-2.111997194086e-10 7.475972190787e-10 -2.666801264709e-09)	(-8.856839268293e-13 -1.586484643063e-12 9.524527603070e-13)	(-2.103140354817e-10 7.491837037218e-10 -2.667753717470e-09)	(-2.270594327389e-10 -2.905049269980e-09 9.361577407953e-10)	(-8.991018289574e-13 -1.924554259729e-12 9.547374953987e-13)	(-2.261603309099e-10 -2.903124715720e-09 9.352030032999e-10)	(-2.554204801148e-10 -6.432638559536e-09 4.538685176196e-09)	(-9.412368732707e-13 -2.051598146027e-12 1.488709457286e-12)	(-2.544792432415e-10 -6.430586961390e-09 4.537196466739e-09)	(-3.040074061691e-10 -5.949044738347e-09 4.212131219154e-09)	(-1.021879987752e-12 -3.310501327690e-12 3.639588257072e-12)	(-3.029855261814e-10 -5.945734237019e-09 4.208491630897e-09)	(-3.509097982798e-10 -4.995871576676e-09 3.738076707525e-09)	(-1.103646780400e-12 -3.328055579424e-12 3.793810022623e-12)	(-3.498061514994e-10 -4.992543521096e-09 3.734282897503e-09)	(-4.051332066283e-10 -4.352560062051e-09 3.576541918566e-09)	(-1.186581006295e-12 -2.939695297328e-12 3.932626505591e-12)	(-4.039466256220e-10 -4.349620366753e-09 3.572609292061e-09)	(-4.238344401988e-10 -3.769260668959e-09 3.529469271239e-09)	(-8.404456506805e-13 -2.901265278168e-12 4.272480181350e-12)	(-4.229939945481e-10 -3.766359403680e-09 3.525196791058e-09)	(-3.545797349463e-10 -3.680828070811e-09 3.739940628925e-09)	(-7.881269860664e-13 -2.269813485097e-12 4.189601124609e-12)	(-3.537916079602e-10 -3.678558257325e-09 3.735751027801e-09)	(-3.165203070798e-10 -4.091727034557e-09 3.951556686768e-09)	(-4.576753257972e-13 -1.804424884637e-12 2.807665005241e-12)	(-3.160626317540e-10 -4.089922609673e-09 3.948749021763e-09)	(-2.531339692870e-10 -3.133477080205e-09 3.407043048598e-09)	(-5.663917537164e-13 -3.356106487713e-12 5.477141064070e-12)	(-2.525675775333e-10 -3.130120973717e-09 3.401565907533e-09)	(-2.283278581355e-10 -4.457405827679e-09 4.729818248775e-09)	(-5.087799201913e-13 -3.036155928494e-12 3.251425221038e-12)	(-2.278190782153e-10 -4.454369671751e-09 4.726566823554e-09)	(-2.376509526498e-10 -4.521220163345e-09 5.120152665953e-09)	(-5.688865839019e-13 -3.277211927166e-12 3.383557554670e-12)	(-2.370820660659e-10 -4.517942951418e-09 5.116769108398e-09)
6e-05               	(-3.301219080544e-12 2.840845261834e-11 -6.000354160098e-10)	(1.236166330815e-14 2.724085127932e-13 -1.062308616064e-12)	(-3.313580743853e-12 2.813604410554e-11 -5.989731073937e-10)	(-4.881621514420e-12 2.468441699283e-10 -7.258545047622e-10)	(5.594253444789e-15 5.668321500391e-13 -1.709552059593e-12)	(-4.887215767865e-12 2.462773377782e-10 -7.241449527026e-10)	(-1.597378652681e-11 1.326745033363e-09 -8.407070186200e-10)	(-1.135428992643e-13 1.283329480786e-12 -1.431609626138e-12)	(-1.586024362755e-11 1.325461703882e-09 -8.392754089938e-10)	(2.669185436677e-11 2.201622400120e-09 -1.007393498767e-09)	(-7.444505550550e-15 1.507138233508e-12 -1.159656354231e-12)	(2.669929887232e-11 2.200115261887e-09 -1.006233842413e-09)	(7.094580814409e-11 1.813724967030e-09 -7.148290983203e-10)	(1.411565329511e-13 1.066379755173e-12 -9.076734186699e-13)	(7.080465161114e-11 1.812658587275e-09 -7.139214249016e-10)	(8.617710579525e-11 1.476182719140e-09 -6.421267262039e-10)	(2.766515935721e-13 4.735886555955e-13 -3.690029932980e-13)	(8.590045420168e-11 1.475709130485e-09 -6.417577232106e-10)	(8.075725262409e-11 1.284544441466e-09 -7.046166037649e-10)	(4.779415905943e-13 1.868114473555e-13 -2.742256227043e-13)	(8.027931103349e-11 1.284357630019e-09 -7.043423781422e-10)	(8.191865006880e-11 1.189739561527e-09 -8.942574410419e-10)	(5.282478667854e-13 1.098009321748e-13 -3.449446746260e-13)	(8.139040220202e-11 1.189629760594e-09 -8.939124963673e-10)	(7.584906762291e-11 5.871821922723e-10 -5.408669844830e-10)	(5.777683595474e-13 5.046409851161e-13 -3.700040461994e-13)	(7.527129926336e-11 5.866775512872e-10 -5.404969804368e-10)	(9.353459739909e-11 1.240790971162e-09 -1.136318132206e-09)	(6.007984195349e-13 5.479387221280e-13 -2.692093449935e-13)	(9.293379897956e-11 1.240243032440e-09 -1.136048922861e-09)	(1.284695861944e-10 1.912821778605e-09 -1.732981699923e-09)	(6.304366388039e-13 4.931068786853e-13 -3.483555894116e-13)	(1.278391495556e-10 1.912328671727e-09 -1.732633344333e-09)	(1.890835154869e-10 1.585061746366e-09 -1.362953099845e-09)	(7.227302602632e-13 6.821543909595e-13 -7.579384705934e-13)	(1.883607852266e-10 1.584379591975e-09 -1.362195161374e-09)	(2.576443470298e-10 1.441608327260e-09 -1.449383242531e-09)	(7.950127743443e-13 6.671913989366e-13 -8.702060039653e-13)	(2.568493342554e-10 1.440941135861e-09 -1.448513036527e-09)	(3.024146066938e-10 1.186162732426e-09 -1.522988232574e-09)	(8.750131270165e-13 3.651388250415e-13 -8.685498349223e-13)	(3.015395935668e-10 1.185797593601e-09 -1.522119682739e-09)	(2.831203961119e-10 1.118844582971e-09 -1.808730013655e-09)	(7.473547976722e-13 2.405205401754e-13 -1.073805896685e-12)	(2.823730413142e-10 1.118604062431e-09 -1.807656207758e-09)	(2.373325441538e-10 1.005247322397e-09 -1.846244193555e-09)	(6.512644460107e-13 1.803784039832e-14 -1.189012952912e-12)	(2.366812797078e-10 1.005229284556e-09 -1.845055180603e-09)	(2.396978924693e-10 1.523575413522e-09 -1.739373532015e-09)	(5.425208804033e-13 1.124677527491e-14 -7.015286877186e-13)	(2.391553715889e-10 1.523564166747e-09 -1.738672003328e-09)	(1.737697244828e-10 1.943932129169e-09 -2.838121135929e-09)	(6.003364304211e-13 7.408227871111e-13 -1.762745842468e-12)	(1.731693880524e-10 1.943191306382e-09 -2.836358390086e-09)	(1.580300327979e-10 2.214617463519e-09 -2.702601831492e-09)	(5.993189082682e-13 6.969808113285e-13 -9.103721816347e-13)	(1.574307138897e-10 2.213920482708e-09 -2.701691459310e-09)	(1.663962013955e-10 2.372027092913e-09 -2.816959623193e-09)	(6.109233987237e-13 1.303951646140e-12 -1.045741554284e-12)	(1.657852779967e-10 2.370723141267e-09 -2.815913881638e-09)
7e-05               	(6.104887969115e-14 3.852919392250e-11 2.396771429197e-10)	(-1.140372294466e-14 -2.081811997741e-13 4.830713620797e-13)	(7.245260263580e-14 3.873737512227e-11 2.391940715576e-10)	(-1.840434992768e-12 1.486998599639e-10 1.898935051959e-10)	(-1.826943432053e-14 -3.027176636580e-13 7.871705680234e-13)	(-1.822165558447e-12 1.490025776276e-10 1.891063346279e-10)	(-2.010327314239e-12 -4.392011405157e-10 3.288400191926e-10)	(1.374169968313e-14 -7.117061005745e-13 7.206056841274e-13)	(-2.024069013922e-12 -4.384894344151e-10 3.281194135084e-10)	(-1.797845235994e-11 -6.448096960044e-10 2.144030628333e-10)	(-1.832817242230e-14 -7.750950753604e-13 5.658653229086e-13)	(-1.796012418751e-11 -6.440346009291e-10 2.138371975104e-10)	(-4.013978112415e-11 -4.460860133940e-10 5.107841488641e-11)	(-8.346148478552e-14 -5.416411019191e-13 4.447367198395e-13)	(-4.005631963937e-11 -4.455443722921e-10 5.063367816657e-11)	(-4.418452989138e-11 -2.778562498974e-10 -3.762890207122e-11)	(-2.160890393086e-13 -1.975339643915e-13 2.335655183848e-13)	(-4.396844085208e-11 -2.776587159330e-10 -3.786246758960e-11)	(-3.984043907568e-11 -5.066696420066e-11 -9.113618669316e-11)	(-3.676402399730e-13 3.786259751752e-14 2.023173985617e-13)	(-3.947279883571e-11 -5.070482679818e-11 -9.133850409172e-11)	(-4.646988451039e-11 5.847710854522e-10 -3.458057070806e-10)	(-4.156697435676e-13 1.099919411762e-13 2.382865119866e-13)	(-4.605421476682e-11 5.846610935110e-10 -3.460439935926e-10)	(-5.242084594538e-11 1.622875453627e-09 -1.131985784726e-09)	(-4.428011824387e-13 5.738847210558e-16 1.765422791200e-13)	(-5.197804476295e-11 1.622874879743e-09 -1.132162327005e-09)	(-7.024547028590e-11 2.351775784990e-09 -2.010677783715e-09)	(-4.550121971320e-13 -1.449461830775e-14 1.327313818165e-13)	(-6.979045808876e-11 2.351790279608e-09 -2.010810515097e-09)	(-1.006269741391e-10 3.009297468994e-09 -2.874052452110e-09)	(-4.676235055224e-13 1.501353862987e-14 1.521880286788e-13)	(-1.001593506336e-10 3.009282455455e-09 -2.874204640139e-09)	(-1.445989921545e-10 3.860580785787e-09 -3.720209938812e-09)	(-5.361182419327e-13 -2.632753857475e-14 2.417709432739e-13)	(-1.440628739125e-10 3.860607113325e-09 -3.720451709755e-09)	(-1.905910027027e-10 4.291701852016e-09 -4.028197218213e-09)	(-6.005260078801e-13 -2.823992814067e-14 3.028789691560e-13)	(-1.899904766948e-10 4.291730091944e-09 -4.028500097183e-09)	(-2.284054462977e-10 4.461091365554e-09 -4.119056612331e-09)	(-6.568530141516e-13 1.379037904728e-13 2.774238119220e-13)	(-2.277485932836e-10 4.460953461764e-09 -4.119334036143e-09)	(-2.351120459520e-10 4.638729742050e-09 -4.154398854291e-09)	(-5.485775470483e-13 2.212890573421e-13 3.880859040645e-13)	(-2.345634684050e-10 4.638508452993e-09 -4.154786940195e-09)	(-2.121369940281e-10 4.717705316586e-09 -4.266234613321e-09)	(-4.731745426030e-13 3.641370208816e-13 4.448489295640e-13)	(-2.116638194855e-10 4.717341179565e-09 -4.266679462251e-09)	(-2.026852257023e-10 4.555309839284e-09 -4.266000364275e-09)	(-4.324218038290e-13 2.871203792829e-13 2.735901605114e-13)	(-2.022528038985e-10 4.555022718904e-09 -4.266273954435e-09)	(-1.734636225458e-10 4.514723288739e-09 -4.071840617598e-09)	(-4.591272135409e-13 -3.362048948443e-14 6.349920624823e-13)	(-1.730044953322e-10 4.514756909229e-09 -4.072475609660e-09)	(-1.648260554081e-10 4.301112429103e-09 -4.025378783412e-09)	(-4.640693796771e-13 2.005982661531e-14 2.808027256579e-13)	(-1.643619860285e-10 4.301092369277e-09 -4.025659586138e-09)	(-1.652147489845e-10 4.106564921152e-09 -4.058399113515e-09)	(-4.664160713402e-13 -3.310853700914e-13 3.306385560538e-13)	(-1.647483329131e-10 4.106896006522e-09 -4.058729752071e-09)
8e-05               	(5.381652129992e-13 9.064414506750e-11 -2.240038416648e-10)	(4.089301143421e-15 1.023612372984e-13 -1.926088359192e-13)	(5.340759118558e-13 9.054178383020e-11 -2.238112328289e-10)	(3.214377348509e-12 1.666193503347e-10 -2.718540280948e-10)	(9.032381193244e-15 1.698998553838e-13 -3.123849147406e-13)	(3.205344967316e-12 1.664494504793e-10 -2.715416431801e-10)	(1.031094252497e-11 3.985541458153e-10 -2.461081411383e-10)	(-2.001399629388e-15 3.709574687035e-13 -2.991853910093e-13)	(1.031294392460e-11 3.981831883466e-10 -2.458089557473e-10)	(2.145932173742e-11 6.617814481290e-10 -3.103427120653e-10)	(1.843972008705e-14 3.883388876741e-13 -2.504353794680e-13)	(2.144088201733e-11 6.613931092414e-10 -3.100922766858e-10)	(3.225550444276e-11 6.896042482621e-10 -3.212571769105e-10)	(6.026359218149e-14 2.274490137213e-13 -1.933009435338e-13)	(3.219524085058e-11 6.893767992484e-10 -3.210638759670e-10)	(3.707097092657e-11 6.043210737494e-10 -2.792780229838e-10)	(1.405330709672e-13 -1.026503354065e-14 -7.825428243988e-14)	(3.693043785561e-11 6.043313387829e-10 -2.791997687014e-10)	(3.909145572345e-11 4.827278667222e-10 -2.763272019557e-10)	(2.485799178864e-13 -1.522940415412e-13 -6.437106544727e-14)	(3.884287580556e-11 4.828801607638e-10 -2.762628308902e-10)	(4.626700165361e-11 4.978573522435e-10 -4.987959712411e-10)	(2.833867006503e-13 -2.011217608575e-13 -8.701751411031e-14)	(4.598361495296e-11 4.980584740044e-10 -4.987089537270e-10)	(5.110397475506e-11 8.811556333041e-10 -1.049267017625e-09)	(3.104754194846e-13 -2.080436103979e-13 -2.133951486327e-14)	(5.079349933557e-11 8.813636769145e-10 -1.049245678110e-09)	(6.120704408942e-11 1.825292898219e-09 -1.942745543052e-09)	(3.174756319816e-13 -2.074888606734e-13 -5.683244071988e-15)	(6.088956845744e-11 1.825500387080e-09 -1.942739859808e-09)	(8.034304799206e-11 2.825258850593e-09 -2.841515737401e-09)	(3.258587651505e-13 -2.175751376509e-13 -6.962348908979e-15)	(8.001718922691e-11 2.825476425731e-09 -2.841508775053e-09)	(1.069710426603e-10 3.250720428423e-09 -3.311540955731e-09)	(3.685614955255e-13 -2.350502604671e-13 1.664587974266e-14)	(1.066024811648e-10 3.250955478684e-09 -3.311557601611e-09)	(1.401760850184e-10 3.221411458081e-09 -3.410621785412e-09)	(4.057391428024e-13 -2.451431746024e-13 -6.282287638641e-15)	(1.397703458756e-10 3.221656601256e-09 -3.410615503124e-09)	(1.639445511915e-10 3.209186843429e-09 -3.507993195867e-09)	(4.280987398927e-13 -3.585203450203e-13 2.519303673114e-14)	(1.635164524516e-10 3.209545363774e-09 -3.508018388904e-09)	(1.737429862897e-10 3.180646281603e-09 -3.583343811457e-09)	(3.713480733224e-13 -4.202793401554e-13 -1.966490930198e-14)	(1.733716382164e-10 3.181066560943e-09 -3.583324146547e-09)	(1.653484669613e-10 3.209823866909e-09 -3.583594995570e-09)	(3.295070287228e-13 -4.975800787279e-13 -4.542658277011e-14)	(1.650189599326e-10 3.210321446988e-09 -3.583549568987e-09)	(1.549575743944e-10 3.369041177172e-09 -3.612210449021e-09)	(3.117062778871e-13 -4.690474368900e-13 3.774208984709e-14)	(1.546458681165e-10 3.369510224609e-09 -3.612248191110e-09)	(1.390406309418e-10 3.472485302729e-09 -3.764802732014e-09)	(3.237052611211e-13 -3.122780583813e-13 -1.361486318101e-13)	(1.387169256807e-10 3.472797580788e-09 -3.764666583382e-09)	(1.316171429698e-10 3.397103987068e-09 -3.648468910722e-09)	(3.260082249574e-13 -3.255425144785e-13 -1.673285330644e-14)	(1.312911347448e-10 3.397429529583e-09 -3.648452177869e-09)	(1.316865978033e-10 3.547243553300e-09 -3.614460109493e-09)	(3.275827381888e-13 -1.484283339092e-13 -3.056806183278e-14)	(1.313590150651e-10 3.547391981634e-09 -3.614429541431e-09)
9e-05               	(4.883380840188e-13 6.133367582083e-12 7.816390653266e-11)	(-1.821138006516e-15 -5.793100059432e-14 9.730292882230e-14)	(4.901592220253e-13 6.191298582678e-12 7.806660360383e-11)	(-6.347946675728e-13 3.285578928714e-11 6.666235500635e-11)	(-2.755857602401e-15 -9.503685684595e-14 1.473974415376e-13)	(-6.320388099704e-13 3.295082614399e-11 6.651495756482e-11)	(-3.080436036353e-12 -1.295060416269e-10 1.152774767809e-10)	(3.351595483724e-15 -2.052573697204e-13 1.653083470583e-13)	(-3.083787631837e-12 -1.293007842572e-10 1.151121684338e-10)	(-5.954323396706e-12 -1.915817167232e-10 1.003001177167e-10)	(-3.925958108920e-15 -1.965757331037e-13 1.316234444766e-13)	(-5.950397438597e-12 -1.913851409901e-10 1.001684942722e-10)	(-1.783053591471e-11 -1.015301544881e-10 2.980908265804e-11)	(-2.461456385314e-14 -1.186961162521e-13 1.036175297902e-13)	(-1.780592135086e-11 -1.014114583718e-10 2.970546512825e-11)	(-2.193208344342e-11 -2.992280196299e-11 -2.799765797874e-11)	(-7.082949204338e-14 -2.357906441836e-14 8.468344037379e-14)	(-2.186125395138e-11 -2.989922289857e-11 -2.808234141911e-11)	(-2.389429907132e-11 4.513511791309e-11 -3.826358267392e-11)	(-1.284570729539e-13 5.662297158239e-14 7.702536826523e-14)	(-2.376584199837e-11 4.507849494151e-11 -3.834060804219e-11)	(-2.899548298711e-11 2.680595908491e-10 -1.283928258101e-10)	(-1.518965414067e-13 8.119973510292e-14 8.318180245233e-14)	(-2.884358644570e-11 2.679783911140e-10 -1.284760076126e-10)	(-3.357372772443e-11 8.558248426619e-10 -6.241732811689e-10)	(-1.624740456843e-13 9.776278801852e-14 4.831908933274e-14)	(-3.341125367875e-11 8.557270798739e-10 -6.242216002582e-10)	(-4.169053826260e-11 1.535516765562e-09 -1.355011524680e-09)	(-1.663529143009e-13 1.063664386091e-13 3.329520622234e-14)	(-4.152418534829e-11 1.535410399124e-09 -1.355044819886e-09)	(-5.315275335676e-11 2.196599235283e-09 -2.092461410285e-09)	(-1.725084764703e-13 1.213888093308e-13 2.482115404851e-14)	(-5.298024488029e-11 2.196477846473e-09 -2.092486231439e-09)	(-6.944101987272e-11 2.669897024646e-09 -2.564119236866e-09)	(-1.963439679507e-13 1.403560889351e-13 1.147480731361e-14)	(-6.924467590477e-11 2.669756668557e-09 -2.564130711673e-09)	(-8.666552637964e-11 2.768038344179e-09 -2.634795242961e-09)	(-2.204403462522e-13 1.444099746403e-13 2.135972178540e-14)	(-8.644508603339e-11 2.767893934204e-09 -2.634816602682e-09)	(-9.715924290018e-11 2.852808426878e-09 -2.707607504163e-09)	(-2.386457854402e-13 1.853799343787e-13 2.187514458371e-14)	(-9.692059711474e-11 2.852623046944e-09 -2.707629379308e-09)	(-1.020228372699e-10 2.894494442232e-09 -2.719412627266e-09)	(-2.205819426995e-13 2.226726780339e-13 4.457370875348e-14)	(-1.018022553272e-10 2.894271769554e-09 -2.719457200975e-09)	(-9.381142575317e-11 2.906684189394e-09 -2.732446350270e-09)	(-1.996194743585e-13 2.644054336938e-13 5.577382959425e-14)	(-9.361180627881e-11 2.906419783960e-09 -2.732502124100e-09)	(-8.885913290123e-11 2.861355857197e-09 -2.720680407775e-09)	(-1.914890047662e-13 2.529757333156e-13 2.048656247884e-14)	(-8.866764389647e-11 2.861102881464e-09 -2.720700894337e-09)	(-8.298315254971e-11 2.814642869122e-09 -2.667810879222e-09)	(-1.963941556086e-13 1.826345263794e-13 9.307158755727e-14)	(-8.278675839411e-11 2.814460234595e-09 -2.667903950809e-09)	(-8.152560266609e-11 2.742695796538e-09 -2.653939556820e-09)	(-1.980926445926e-13 1.902336894056e-13 4.446217161867e-14)	(-8.132751002150e-11 2.742505562849e-09 -2.653984018991e-09)	(-8.177417247089e-11 2.675536960790e-09 -2.659633547267e-09)	(-1.993149797639e-13 1.004273971198e-13 6.992634017211e-14)	(-8.157485749112e-11 2.675436533393e-09 -2.659703473607e-09)
